"","playerId","playerName","LA_RAPM","LA_RAPM__Def","LA_RAPM__Off","RAPM","RAPM__Def","RAPM__Off","season","Team","MP"
"48",101110,"Martell Webster",-0.92,-2.2,1.28,-0.81,-1.9,1.09,"2011-12","MIN",1139.55666666667
"49",101110,"Martell Webster",-0.55,0.28,-0.83,0.5,0.38,0.12,"2012-13","WAS",2200.08666666667
"50",101110,"Martell Webster",1.17,-1.58,2.75,-0.34,-1.14,0.8,"2013-14","WAS",2157.115
"51",101110,"Martell Webster",-0.43,0.29,-0.71,-1.9,-0.79,-1.11,"2014-15","WAS",351.628333333333
"52",101111,"Charlie Villanueva",-2.5,-2.06,-0.44,-2.87,-2.92,0.05,"2009-10","DET",1847.55666666667
"53",101111,"Charlie Villanueva",-2.94,-2,-0.94,-1.77,-1.46,-0.32,"2010-11","DET",1665.65833333333
"54",101111,"Charlie Villanueva",-1.27,-0.75,-0.53,-1.16,-0.78,-0.38,"2011-12","DET",179.613333333333
"55",101111,"Charlie Villanueva",-0.93,-1.4,0.47,-0.27,-1.25,0.98,"2012-13","DET",1091.86333333333
"56",101111,"Charlie Villanueva",-1.03,-1.39,0.36,-1.02,-0.68,-0.34,"2013-14","DET",179.676666666667
"57",101111,"Charlie Villanueva",-0.73,-0.94,0.22,-0.66,-0.7,0.04,"2014-15","DAL",678.1
"58",101111,"Charlie Villanueva",-0.23,-0.59,0.35,-1.29,-0.41,-0.88,"2015-16","DAL",665.036666666667
"59",101112,"Channing Frye",0.91,-0.99,1.9,2.23,-0.92,3.15,"2009-10","PHX",2190.08166666667
"60",101112,"Channing Frye",2.39,-0.89,3.28,0.76,-0.45,1.21,"2010-11","PHX",2541.12666666667
"61",101112,"Channing Frye",1.52,-0.38,1.9,1.76,-0.53,2.29,"2011-12","PHX",1669.425
"62",101112,"Channing Frye",4.37,2.11,2.26,2.5,0.25,2.25,"2013-14","PHX",2312.305
"63",101112,"Channing Frye",-1.54,-0.87,-0.68,-1.8,-0.98,-0.82,"2014-15","ORL",1869.71666666667
"64",101112,"Channing Frye",1.05,0.25,0.8,0.96,0.28,0.68,"2015-16","CLE",1199.40666666667
"65",101112,"Channing Frye",0.95,0.05,0.9,-0.34,-0.49,0.15,"2016-17","CLE",1397.83166666667
"66",101112,"Channing Frye",0.34,-0.08,0.42,0.99,0.12,0.86,"2017-18","LAL",694.858333333333
"67",101112,"Channing Frye",-1.31,-0.71,-0.6,-1.78,-1.21,-0.57,"2018-19","CLE",340.995
"68",101113,"Ike Diogu",0.84,-0.47,1.31,-0.17,-0.01,-0.15,"2010-11","LAC",469.615
"69",101113,"Ike Diogu",0,-0.22,0.21,0.37,-0.05,0.42,"2011-12","SAS",14.2
"70",101114,"Deron Williams",3.49,0.35,3.14,4.28,0.97,3.31,"2009-10","UTA",2801.5
