"TeamSeason","team_score1","assists1","blocks1","defensive_rebounds1","fast_break_points1","field_goals_made1","field_goals_attempted1","flagrant_fouls1","fouls1","free_throws_made1","free_throws_attempted1","offensive_rebounds1","points_in_paint1","steals1","team_turnovers1","technical_fouls1","three_point_field_goals_made1","three_point_field_goals_attempted1","total_rebounds1","total_technical_fouls1","turnover_points1","turnovers1","team_score2","assists2","blocks2","defensive_rebounds2","fast_break_points2","field_goals_made2","field_goals_attempted2","flagrant_fouls2","fouls2","free_throws_made2","free_throws_attempted2","offensive_rebounds2","points_in_paint2","steals2","team_turnovers2","technical_fouls2","three_point_field_goals_made2","three_point_field_goals_attempted2","total_rebounds2","total_technical_fouls2","turnover_points2","turnovers2","Games","Wins","Team_Stats","Opponent_Stats","Possessions"
"200376ers",103.863568314911,21.2992110138872,3.69611776645483,31.0048439977434,6.32860452098021,39.5404828684772,88.2547832148459,0.106363101192945,23.6923807907284,21.5917095421678,28.0532679396392,13.5612954021005,-1.09022178722768,10.8490363216804,16.1671913813276,0.717950933052377,3.19089303578834,10.6097193439962,53.926092304823,0.717950933052377,21.7778449692554,16.1671913813276,102.055395594631,23.639199240132,8.11018646596204,31.6962041554975,5.39792738554195,38.3970795306531,84.319348470707,0.0797723258947086,24.3837409484826,19.6239921700983,26.457821421745,12.3115289630834,-1.09022178722768,7.92405103887439,19.0389951135371,0.717950933052377,5.63724436322607,16.2203729319241,54.0058646307177,0.717950933052377,17.6562747980288,19.0389951135371,41,23,3761.61903642773,3759.78632903622,3760.70268273198
"2003Bucks",105.473642175379,22.8158797856084,4.35600033159461,31.6872463145876,5.07314672764982,39.3633688501416,89.5370555963746,0.106243910526698,24.2501725777188,19.6285624698074,25.126684839564,11.7399521132001,-1.08900008289865,8.20734208818741,13.5992205474173,1.08900008289865,7.11834200528876,20.0004161566509,51.9532722475553,1.08900008289865,17.1052695947984,13.5992205474173,109.484349797762,26.8531483856229,5.12626868291317,35.4589051382854,6.42775658686522,40.7711006646203,89.4308116858479,0.0531219552633489,21.5940748145513,21.2487821053396,28.0749533566799,13.9976352118924,-1.08900008289865,7.25114689344713,15.4584889816345,0.876512261845257,6.64024440791862,17.7692940355902,59.2044191410024,0.876512261845257,14.847586496106,15.4584889816345,41,17,3758.65173888576,3771.19158139535,3764.92166014056
"2003Bulls",96.8840254980805,21.042914820251,5.68107748779173,30.9784315029361,5.55369906878295,37.372828137177,86.362568087955,0.127378419008783,26.3673327348181,18.0113084478419,25.1444999123338,12.5849877980678,-1.04450303587202,7.74460787573402,18.5462978076788,1.19735713868256,4.2289635110916,13.0690257903012,53.1932277780679,1.19735713868256,15.7439725894856,18.5462978076788,108.526412995483,25.1444999123338,5.85940727440403,34.0609892429486,6.13963979622335,39.6146883117316,86.4899465069638,0.0764270514052699,22.6988342673652,23.6923859356337,32.0229345388081,14.4701883993978,-1.04450303587202,10.2921762559097,15.8458753246926,0.815221881656212,5.60465043638646,16.6101458387453,58.1355104356087,0.815221881656212,20.7117309308281,15.8458753246926,41,3,3957.66109229929,3892.96233183857,3925.31171206893
"2003Cavaliers",92.7756802160003,20.5882230715118,5.43014383511125,31.9889515973615,6.12499636377477,35.0771850580883,84.0256854106077,0.0257352788393898,24.3455737820628,19.1985180141848,26.0441021854625,13.2794038811251,-1.05514643241498,8.56984785351681,20.5624877926725,1.08088171125437,3.42279208563884,11.1691110162952,54.5587911395064,1.08088171125437,15.5441084189914,20.5624877926725,108.268318077313,26.4043960892139,6.22793747913233,32.5808630106675,7.05146640199281,40.7646816815935,86.9852424771375,0.0257352788393898,22.0293986865177,21.5146931097299,28.386012559847,12.0955810545132,-1.05514643241498,10.8088171125437,15.3896967459551,0.977940595896813,5.22426160439613,14.128668082825,54.3271736299519,0.977940595896813,23.7536623687568,15.3896967459551,41,3,3879.5002020202,3891.93298307064,3885.71659254542
"2003Celtics",100.867009637497,19.1031949286931,3.95976589558343,31.8119030395183,3.77247967079233,35.1295447358179,86.338949628701,0.133775874850792,24.8555575472771,21.5646710259476,28.2802199434574,10.8626010378843,-1.09696217377649,9.07000431488368,14.6350807086766,1.44477944838855,9.04324913991352,28.5477716931589,51.9317946170773,1.44477944838855,18.0062327549166,14.6350807086766,105.067572107812,25.176619646919,5.24401429415103,37.6980415329531,5.21725911918088,37.8853277577442,85.5898047295365,0.080265524910475,24.8020471973368,23.0362056493063,30.2333477162789,12.8692391606462,-1.09696217377649,7.54495934158465,16.9895361060505,1.44477944838855,6.31422129295737,18.3808052044988,60.8947782320804,1.44477944838855,16.4811877816175,16.9895361060505,41,19,3738.68436363636,3736.5050239521,3737.59469379423
"2003Clippers",102.128052227394,20.6050138955295,5.329337780918,32.0551752664127,5.90976070755264,37.8330216724575,86.5621646494652,0.0263828603015743,23.79733999202,21.5547968663862,28.6254034272081,14.0356816804375,-1.08169727236455,8.0995381125833,17.9667278653721,1.10808013266612,4.90721201609281,15.2756761146115,55.7206009569249,1.10808013266612,15.7505676000398,17.9667278653721,108.116961515851,25.3275458895113,6.22635503117153,32.2662381488253,5.72508068544162,40.7087534453291,89.5961935841462,0.0527657206031485,24.4305286392578,20.5258653146248,26.092648838257,13.7718530774218,-1.08169727236455,8.9174067819321,15.5131218573257,1.29276015477714,6.14720645026681,16.8322648724044,54.533372243354,1.29276015477714,19.3650194613555,15.5131218573257,41,11,3796.9194985755,3783.75968911917,3790.33959384733
"2003Grizzlies",100.395613133627,22.8576957317293,6.00276642496101,31.1934150467406,6.8677939010471,38.8475975624114,88.7570616371965,0.0262129538207905,21.389770317765,17.7461697366751,23.9848527460233,12.3725142034131,-1.07473110665241,8.20465454590741,16.2520313688901,0.550472030236599,4.9542482721294,15.4656427542664,52.792888995072,0.550472030236599,16.016114784503,16.2520313688901,108.888610171564,27.7857310500379,6.10761824024418,34.2603306437731,6.47459959373524,43.0678831275587,91.561847696021,0.131064769103952,22.516927332059,17.1956977064385,22.7790568702669,14.4695505090763,-1.07473110665241,9.14832088345587,15.3345779851624,0.996092245190037,5.55714621000758,15.2035132160585,57.4325818213519,0.996092245190037,18.0869381363454,15.3345779851624,41,8,3831.4737717819,3798.34167623421,3814.90772400806
"2003Hawks",99.1046552364009,20.886458498605,6.65292015628153,33.503151703346,5.38064857261016,37.1344268484081,86.0108601877831,0.0795169739794605,23.2719677179888,19.6406925729267,24.9418241715574,12.7757271527,-1.08673197771929,8.00470871393236,18.7129945431664,0.742158423808298,5.19510896665809,15.0022024241249,55.3173082317114,0.742158423808298,14.6311232122207,18.7129945431664,108.037061980094,25.896027859311,6.75894278825414,33.1850838074282,6.06979568043215,40.6596793614975,91.86861060427,0,21.416571658468,20.4358623127213,26.6381862831193,14.2335383423234,-1.08673197771929,9.91311608943941,13.6504138664741,0.874686713774065,6.28184094437738,16.8575984836456,56.2715119194649,0.874686713774065,21.231032052516,13.6504138664741,41,9,3778.94292964245,3766.61583564686,3772.77938264465
"2003Heat",93.8436307372729,20.7865715211868,4.31210792194833,34.3586547883447,4.14625761725801,35.4643234862802,89.3103890757375,0.0829251523451602,26.231989858519,18.2711752333836,24.0482941800964,13.6826501369514,-1.13331041538386,7.85024775534183,17.1655065354482,1.07802698048708,4.64380853132897,14.5948268127482,57.9093980543702,1.07802698048708,15.5346452059933,17.1655065354482,103.65644043145,22.5003580029868,6.38523673057733,36.3488584446285,4.28446620449994,37.5098105774608,86.5738590483472,0.0829251523451602,23.4401763962319,22.8597003298158,30.1571137361899,12.576981439016,-1.13331041538386,8.98355817072568,15.0923777268191,0.884534958348375,5.77711894671282,16.585030469032,58.0752483590605,0.884534958348375,18.4370255380739,15.0923777268191,41,9,3629.96784530387,3605.47258539458,3617.72021534922
"2003Hornets",100.828991230904,21.3187511124673,4.89461122480118,32.4675877911811,4.51391924064997,38.042006130538,91.0669610658841,0.0815768537466863,24.3370947010947,19.5512526146225,25.7239012147884,14.982948804808,-1.11488366787138,8.10330080550417,16.2337938955906,0.897345391213549,5.19372635520569,13.9496419906834,58.0283352984762,0.897345391213549,17.1855238559686,16.2337938955906,102.73245115166,22.107327365352,6.66210972264604,33.3649331823947,5.49284148561021,38.9393515217516,87.7766946314344,0.0543845691644575,23.8476335786146,20.1766751600137,26.4037083293441,12.2093357774207,-1.11488366787138,8.64714649714874,15.934678765186,0.788576252884634,4.67707294814335,12.9163351765587,56.2336445160491,0.788576252884634,17.7021772630309,15.934678765186,41,18,3677.79623172103,3677.23123554474,3677.51373363289
